measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,38,Mongolia,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,154.3162251241298,228.070857057959,89.96942151274195
1,Deaths,38,Mongolia,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.10755046612511826,0.1492692587758291,0.06578308881357528
1,Deaths,38,Mongolia,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,39.1528851520567,57.865801640356,22.826908997105573
1,Deaths,11,Indonesia,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,5545.086775204379,7457.010995343299,3991.0590515922763
1,Deaths,11,Indonesia,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.05605660986005221,0.06866003603708917,0.04417854013396195
1,Deaths,11,Indonesia,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,28.13857329959213,37.84064325676813,20.252651079944663
1,Deaths,6,China,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,10130.81590616293,12591.90876292459,8045.160114972075
1,Deaths,6,China,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.07750139957660031,0.09069064771848354,0.06461799297174717
1,Deaths,6,China,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,12.431843278976233,15.451927838173114,9.872469367719916
1,Deaths,72,New Zealand,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,4.751296064593262,11.809745914131454,0.5464574134548692
1,Deaths,72,New Zealand,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.017570631931372992,0.04316492371200019,0.0020806810137467754
1,Deaths,72,New Zealand,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,1.6180108153992567,4.021701943302845,0.18609111979233653
1,Deaths,17,Sri Lanka,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,148.52584485323317,258.798265807992,63.650706997047486
1,Deaths,17,Sri Lanka,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.06477672737105845,0.10157139136149361,0.031011786602018494
1,Deaths,17,Sri Lanka,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,9.609442920733393,16.743935479539857,4.118123928915245
1,Deaths,15,Myanmar,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,5212.52239258308,7442.756052166033,3366.138302074047
1,Deaths,15,Myanmar,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.12210202399440472,0.16066149876032276,0.08750696391832613
1,Deaths,15,Myanmar,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,103.86262146895864,148.3013589796489,67.07231584807191
1,Deaths,183,Mauritius,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,5.661234466285315,12.044368067909076,1.2397858460338762
1,Deaths,183,Mauritius,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.03486002223599237,0.07180618550929371,0.007564259667367406
1,Deaths,183,Mauritius,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,8.79563656843821,18.712859333547975,1.9262063405692023
1,Deaths,25,Micronesia (Federated States of),3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,1.1603072479474819,2.0167769365833763,0.4990175523302167
1,Deaths,25,Micronesia (Federated States of),3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.04277760816629774,0.06973244184298587,0.019637653522983828
1,Deaths,25,Micronesia (Federated States of),3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,11.891266152723553,20.668690440407268,5.1141200230680965
1,Deaths,27,Samoa,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,3.2313524851512474,5.158324145776957,1.6622928698466304
1,Deaths,27,Samoa,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.06970383887314517,0.10164594347348929,0.040713157850946854
1,Deaths,27,Samoa,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,15.395196737159798,24.575906040334353,7.919694890503099
1,Deaths,67,Japan,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,28.705435123433958,37.63629114941013,20.874192559971096
1,Deaths,67,Japan,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.01280654225070482,0.0162266400313277,0.009477684145863557
1,Deaths,67,Japan,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,0.59913707299956,0.7855410385125452,0.43568413360856717
1,Deaths,374,Niue,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,0.010064673185335537,0.0230987598456636,0.002145413278051381
1,Deaths,374,Niue,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.02127846591020298,0.04665176331178,0.004568566668683292
1,Deaths,374,Niue,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,7.938584338504834,18.21931520010465,1.6922103614426716
1,Deaths,165,Pakistan,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,69210.82245212873,87325.20723046614,53737.806875604954
1,Deaths,165,Pakistan,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.16472081526771212,0.1893269073439186,0.13928232885668196
1,Deaths,165,Pakistan,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,226.72386592344273,286.0637668270924,176.03667879415255
1,Deaths,71,Australia,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,22.61683930055174,66.21360035881625,0.6457973592547632
1,Deaths,71,Australia,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.020350581734828236,0.060256373307326805,0.0005967527060315111
1,Deaths,16,Philippines,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,4985.350177755308,6687.456304132168,3508.109538341072
1,Deaths,16,Philippines,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.08305671894802098,0.10113629363411362,0.06506267581640252
1,Deaths,16,Philippines,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,39.396463430071336,52.84726615625001,27.722648200846614
1,Deaths,69,Singapore,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,2.9783869969092502,5.81885002110611,1.114414935558702
1,Deaths,69,Singapore,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.02824258486849525,0.05059832547726958,0.011663377757892923
1,Deaths,69,Singapore,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,1.0296544563475234,2.011627388001364,0.38526299833064226
1,Deaths,163,India,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,149470.8920726201,187781.9859955934,118606.03630702414
1,Deaths,163,India,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.17784995500847203,0.1974994543503462,0.15890291673509188
1,Deaths,163,India,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,127.67568127877932,160.40041416372418,101.31140772156289
1,Deaths,71,Australia,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,1.4825040930384117,4.340214485423702,0.042331168190474264
1,Deaths,161,Bangladesh,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,13686.058809952141,18011.242602703303,9919.687541484129
1,Deaths,161,Bangladesh,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.17575398978601403,0.21477224315579943,0.13527728061056477
1,Deaths,161,Bangladesh,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,99.56457657889707,131.02981422920087,72.16463874498591
1,Deaths,14,Maldives,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,4.246591975061708,10.108651416052092,0.6628056443035897
1,Deaths,14,Maldives,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.03036606082400769,0.0693699729372775,0.004746181471146691
1,Deaths,14,Maldives,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,10.312802882545302,24.548751110139992,1.6096163698519759
